Model,Standardize,Normalize,PCA,F1-Stratified,F1,Runtime
LogisticRegression,TRUE,FALSE,15,0.982265883,0.978836254,0.210853755
LogisticRegression,TRUE,FALSE,FALSE,0.982265883,0.976985654,0.254474799
LogisticRegression,TRUE,TRUE,FALSE,0.980568202,0.980583947,0.190764058
LogisticRegression,TRUE,TRUE,15,0.9805652,0.980572711,0.178982321
SVC,TRUE,TRUE,15,0.977056428,0.978806741,16.57333895
SVC,TRUE,FALSE,FALSE,0.976990622,0.973314582,14.60127534
SVC,TRUE,FALSE,15,0.975356155,0.98045753,13.80911298
AdaBoostClassifier,TRUE,FALSE,15,0.975330152,0.973376603,7.983392787
AdaBoostClassifier,TRUE,FALSE,FALSE,0.975077239,0.982234132,12.37694919
AdaBoostClassifier,TRUE,TRUE,FALSE,0.973418551,0.973601329,12.30946383
RandomForestClassifier,TRUE,FALSE,FALSE,0.971656588,0.964681425,515.5935302
SVC,TRUE,TRUE,FALSE,0.970030234,0.973503511,19.98480448
neuralnetwork,TRUE,FALSE,15,0.968887407,0.967355648,5.428934213
KNeighborsClassifier,TRUE,TRUE,15,0.968002075,0.966374751,8.652660104
KNeighborsClassifier,TRUE,FALSE,FALSE,0.967756942,0.968007276,10.24258155
KNeighborsClassifier,TRUE,FALSE,15,0.967756942,0.966261693,8.653524431
neuralnetwork,TRUE,FALSE,FALSE,0.966898749,0.964312292,5.278209289
neuralnetwork,TRUE,TRUE,FALSE,0.966588556,0.968195938,5.248625894
neuralnetwork,TRUE,TRUE,15,0.964782395,0.971712959,5.785016112
KNeighborsClassifier,TRUE,TRUE,FALSE,0.964534317,0.96623365,10.39245777
AdaBoostClassifier,TRUE,TRUE,15,0.962678071,0.966233047,9.030767477
RandomForestClassifier,TRUE,FALSE,15,0.961194905,0.957635376,393.0221024
RandomForestClassifier,TRUE,TRUE,FALSE,0.955659529,0.964667602,520.2025818
RandomForestClassifier,TRUE,TRUE,15,0.949933366,0.951705915,404.836505
neuralnetwork,FALSE,TRUE,5,0.893967262,0.893500234,5.562110925
neuralnetwork,FALSE,TRUE,FALSE,0.883506379,0.879809109,5.470446229
